,value
2018-06-25,92167272.08699977
2018-06-26,91181833.08699977
2018-06-27,90892808.08699977
2018-06-28,89914518.08699977
2018-06-29,89305233.08699977
2018-07-02,91311670.08699977
2018-07-03,91072748.76999973
2018-07-04,91072748.76999973
2018-07-05,91072748.76999973
2018-07-06,91072748.76999973
2018-07-09,91072748.76999973
2018-07-10,91072748.76999973
2018-07-11,91072748.76999973
2018-07-12,91072748.76999973
2018-07-13,91072748.76999973
2018-07-16,91072748.76999973
2018-07-17,91072748.76999973
2018-07-18,91072748.76999973
2018-07-19,91072748.76999973
2018-07-20,91072748.76999973
2018-07-23,91072748.76999973
2018-07-24,91072748.76999973
2018-07-25,91072748.76999973
2018-07-26,91072748.76999973
2018-07-27,91072748.76999973
2018-07-30,91072748.76999973
2018-07-31,91072748.76999973
2018-08-01,91072748.76999973
2018-08-02,89465493.80499972
2018-08-03,87377180.80499974
2018-08-06,86137563.80499975
2018-08-07,84417609.80499977
2018-08-08,86540335.80499975
2018-08-09,85308845.80499975
2018-08-10,87129628.80499974
2018-08-13,87421802.80499972
2018-08-14,87143058.80499972
2018-08-15,86791952.80499972
2018-08-16,85079944.80499972
2018-08-17,84723097.80499972
2018-08-20,83684117.80499972
2018-08-21,84338275.80499972
2018-08-22,85368242.80499972
2018-08-23,84765746.80499972
2018-08-24,85117496.80499972
2018-08-27,85394597.80499972
2018-08-28,87161028.80499971
2018-08-29,87037198.80499971
2018-08-30,86795944.80499971
2018-08-31,85815450.80499971
2018-09-03,85246272.80499972
2018-09-04,84968419.64399973
2018-09-05,85965944.64399971
2018-09-06,84736407.64399971
2018-09-07,84009382.64399971
2018-09-10,84092195.64399971
2018-09-11,82716488.64399971
2018-09-12,82704060.64399971
2018-09-13,82663132.64399971
2018-09-14,83354036.64399971
2018-09-17,83074642.64399971
2018-09-18,82040646.64399971
2018-09-19,83479190.6439997
2018-09-20,84832909.6439997
2018-09-21,84688941.6439997
2018-09-25,86865429.64399968
2018-09-26,85892543.6439997
2018-09-27,86628979.6439997
2018-09-28,85767191.64399971
2018-10-08,86599006.64399971
2018-10-09,84785895.84599976
2018-10-10,84785895.84599976
2018-10-11,84785895.84599976
2018-10-12,84785895.84599976
2018-10-15,84785895.84599976
2018-10-16,84785895.84599976
2018-10-17,84785895.84599976
2018-10-18,84785895.84599976
2018-10-19,84785895.84599976
2018-10-22,84785895.84599976
2018-10-23,84785895.84599976
2018-10-24,84785895.84599976
2018-10-25,84785895.84599976
2018-10-26,84785895.84599976
2018-10-29,84785895.84599976
2018-10-30,84785895.84599976
2018-10-31,84785895.84599976
2018-11-01,84785895.84599976
2018-11-02,84651320.53699976
2018-11-05,86968119.53699975
2018-11-06,87090605.53699973
2018-11-07,86878655.53699973
2018-11-08,86242111.53699973
2018-11-09,85630532.53699973
2018-11-12,85137365.53699973
2018-11-13,86769704.53699973
2018-11-14,88112042.53699973
2018-11-15,87703739.53699973
2018-11-16,89189473.53699972
2018-11-19,90248911.5369997
2018-11-20,91495649.53699969
2018-11-21,88666603.5369997
2018-11-22,89145624.5369997
2018-11-23,88780544.5369997
2018-11-26,85843987.53699972
2018-11-27,85615555.53699972
2018-11-28,85727697.53699972
2018-11-29,87327972.5369997
2018-11-30,85356363.53699972
2018-12-03,86187782.5369997
2018-12-04,88448802.3959997
2018-12-05,88494185.3959997
2018-12-06,88077033.3959997
2018-12-07,86314384.39599971
2018-12-10,86428740.39599971
2018-12-11,85437697.39599971
2018-12-12,86019150.39599971
2018-12-13,86234149.39599971
2018-12-14,87461821.39599971
2018-12-17,85833878.39599973
2018-12-18,85816456.39599973
2018-12-19,85007866.39599974
2018-12-20,84043106.39599976
2018-12-21,84144235.39599976
2018-12-24,83148217.39599977
